Team,Actual Wins,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
DJ Purple,2,92.52,100.84,102.76,91.8,85.16,95.34,65.94,88.18,67.06,55.74
Eat 4 Dicks Asendorf,6,86.76,69.86,89.24,70.72,95.24,133.4,95.76,106.8,83.78,83.36
Aah Fuckin’ Shitdick,7,86.98,120.4,112.34,85,138.72,84.4,99.04,142.98,87.72,109.08
Pubic Faith,2,71.44,68.02,123.42,52.78,88.8,45.72,79.08,76.76,82.3,105.04
Peter’s Team,6,76.82,99.26,84,92.6,55.82,52.9,109.06,100.6,52.7,120.32
Jbone!,6,108.86,79.4,126.76,114.88,94.9,92.54,75.66,64.52,60.58,75.28
Zach Attack,3,111.7,65.62,135.64,89.24,100.74,75.4,95.66,118.38,104.24,96.42
THROW IT TO SANDERS,3,102.66,86.52,98.1,54.9,127.66,78.8,92.02,94.44,98.6,70.92
Lambeau Leapers,9,111.16,115.18,104.08,105.08,119.44,140.64,103.02,105.16,114.8,131.82
Frank The Tank,3,87.52,76.26,81.24,71.9,149.94,91.6,61.22,102.76,130.14,79.12
Chubby Winners,7,103.4,92.5,51.8,109.28,138.92,110.62,86.1,110.36,75.56,96.08
Rudy Was Offsides,6,131.52,107.82,100.3,71.1,93.64,78.02,71.14,95,73.8,111.24
